"Transaction ID",Timestamp,"Transaction Type",In/Out,"Amount Fiat",Fiat,"Amount Asset",Asset,"Asset market price","Asset market price currency","Asset class","Product ID",Fee,"Fee asset",Spread,"Spread Currency"
Fb5208f2a-fda6-427b-bd15-c0acc99864b9,2021-01-19T09:16:57+01:00,deposit,incoming,25.00,EUR,-,EUR,-,-,Fiat,-,0.38000000,EUR,-,-
T280002c9-cc9f-4da2-a63d-144e9b20c6be,2021-01-19T09:24:58+01:00,buy,outgoing,1.00,EUR,2.49157264,MIOTA,0.40,EUR,Cryptocurrency,13,-,-,-,-
Fcd87c78d-448e-4d06-8b12-69217711bc9f,2021-01-20T13:44:23+01:00,deposit,incoming,100.00,EUR,-,EUR,-,-,Fiat,-,0.00000000,EUR,-,-
T7592202b-338a-43bb-afa6-03a11a15a47f,2021-01-20T15:18:12+01:00,buy,outgoing,50.00,EUR,129.13843383,MIOTA,0.39,EUR,Cryptocurrency,13,-,-,-,-
T2aa4ae17-d8d9-4ac4-b7a5-209a4c6464c5,2021-01-27T19:02:10+01:00,buy,outgoing,73.62,EUR,221.44812968,MIOTA,0.33,EUR,Cryptocurrency,13,-,-,-,-
Fd49ef273-420d-4a86-a50d-c97da6fd6a21,2021-02-07T21:25:30+01:00,deposit,incoming,100.00,EUR,-,EUR,-,-,Fiat,-,1.50000000,EUR,-,-
Tbdcfbb9b-352d-481b-8c3e-355ffcabe63c,2021-02-07T21:36:07+01:00,buy,outgoing,98.50,EUR,211.02685159,MIOTA,0.47,EUR,Cryptocurrency,13,-,-,-,-
F9a757cb6-822e-47c3-a4b8-76e181d63780,2021-02-08T18:21:01+01:00,deposit,incoming,150.00,EUR,-,EUR,-,-,Fiat,-,2.25000000,EUR,-,-
Tb2db34e7-3c85-4cee-8f39-f9e47a4a41ad,2021-02-08T18:24:56+01:00,buy,outgoing,50.00,EUR,0.00137803,BTC,36283.68,EUR,Cryptocurrency,1,-,-,-,-
Te45c8198-fdc5-4fad-b902-c72a145bd076,2021-02-08T19:22:42+01:00,buy,outgoing,97.74,EUR,0.00268669,BTC,36379.34,EUR,Cryptocurrency,1,-,-,-,-
Fc3648da9-6509-48f3-88d2-eba23c6ad4c6,2021-02-11T08:11:49+01:00,deposit,incoming,500.00,EUR,-,EUR,-,-,Fiat,-,3.00000000,EUR,-,-
T98669a39-831b-4944-99a5-c4f836263f56,2021-02-11T08:21:26+01:00,buy,outgoing,300.00,EUR,324.38194039,MIOTA,0.92,EUR,Cryptocurrency,13,-,-,-,-
Tb317a97b-ee8d-46ca-bbd7-188ea141c008,2021-02-16T17:07:20+01:00,buy,outgoing,131.58,EUR,120.00000000,MIOTA,1.10,EUR,Cryptocurrency,13,-,-,-,-
T69d83747-45d3-4ab8-a418-476ccbd5452b,2021-02-16T18:08:13+01:00,buy,outgoing,10.00,EUR,10254.49574087,BTT,0.00,EUR,Cryptocurrency,70,-,-,-,-
F3cfe62ac-b560-4723-bcb8-23bea9196ddb,2021-02-17T21:59:28+01:00,deposit,incoming,1000.00,EUR,-,EUR,-,-,Fiat,-,3.00000000,EUR,-,-
T837f80b6-a68c-41ae-bb5c-2850dfafa83e,2021-02-17T22:45:54+01:00,buy,outgoing,1000.00,EUR,0.02254850,BTC,44348.85,EUR,Cryptocurrency,1,-,-,-,-
Tb59a87d9-bf84-457d-8bb7-3d33126c7fb2,2021-02-23T13:27:55+01:00,buy,outgoing,52.43,EUR,62.04112006,MIOTA,0.85,EUR,Cryptocurrency,13,-,-,-,-
F62db00e1-d0d7-4312-8654-a692ea4758e4,2021-02-24T19:51:51+01:00,deposit,incoming,300.00,EUR,-,EUR,-,-,Fiat,-,3.00000000,EUR,-,-
T39edea30-8564-441b-95c6-b4e8f7375f3a,2021-02-24T19:57:05+01:00,buy,outgoing,150.00,EUR,145.62655242,MIOTA,1.03,EUR,Cryptocurrency,13,-,-,-,-
T572388fa-99cd-4804-b166-9f91cd465390,2021-02-24T20:25:34+01:00,buy,outgoing,147.00,EUR,0.00353854,BTC,41542.56,EUR,Cryptocurrency,1,-,-,-,-
F541e368e-0f67-457e-a23c-3678c3229e47,2021-03-10T12:52:11+01:00,deposit,incoming,200.00,EUR,-,EUR,-,-,Fiat,-,0.00000000,EUR,-,-
Tb591b44d-624f-45ed-b6f2-e4dc4edea67e,2021-03-10T14:54:34+01:00,buy,outgoing,50.00,EUR,49.29925190,ADA,1.01,EUR,Cryptocurrency,22,-,-,-,-
T69399300-9c08-408c-bd19-ffd7cc435b54,2021-03-10T14:56:10+01:00,buy,outgoing,50.00,EUR,64.10421329,BEST,0.78,EUR,Cryptocurrency,33,-,-,-,-
T7989ea1c-f12a-47cc-b278-122a16cf8b75,2021-03-20T01:21:05+01:00,buy,outgoing,10.00,EUR,4364.31560984,BTT,0.00,EUR,Cryptocurrency,70,-,-,-,-
Cb2ff83fb-15a3-4250-a492-6f4a617ca9a3,2021-03-20T01:21:05+01:00,withdrawal,outgoing,0,EUR,0.00000000,BEST,0.00,-,Cryptocurrency,33,0.22336699,BEST,-,-
Tdd4809f0-237e-4297-9a48-07f01571f958,2021-03-29T13:54:00+02:00,buy,outgoing,90.00,EUR,0.00180213,BTC,49940.90,EUR,Cryptocurrency,1,-,-,-,-
Te5a0bf34-6b77-42a6-b22d-bd41e7f96ed2,2021-03-31T07:18:02+02:00,sell,incoming,17.27,EUR,11.58728728,BEST,1.49,EUR,Cryptocurrency,33,-,-,-,-
C0d4c2d9d-594e-46f2-8f60-1fab5d207ba1,2021-03-31T07:18:02+02:00,withdrawal,outgoing,0,EUR,0.00000000,BEST,0.00,-,Cryptocurrency,33,0.12748022,BEST,-,-
Tfde0e1c7-37be-4db1-8110-d8a726541ff5,2021-03-31T07:18:03+02:00,buy,outgoing,17.27,EUR,4000.00000000,BTT,0.00,EUR,Cryptocurrency,70,-,-,-,-
C32f64ca1-95c3-4b8f-be56-d8c7165f0c3e,2021-03-31T07:18:03+02:00,withdrawal,outgoing,0,EUR,0.00000000,BEST,0.00,-,Cryptocurrency,33,0.16773713,BEST,-,-
F5b0492ad-d57c-4b12-aa46-0d1e87888993,2021-03-31T13:50:15+02:00,deposit,incoming,300.00,EUR,-,EUR,-,-,Fiat,-,0.00000000,EUR,-,-
T37311d3d-31fb-4683-b1e0-4d539e906400,2021-03-31T13:56:52+02:00,buy,outgoing,150.00,EUR,0.00302352,BTC,49611.05,EUR,Cryptocurrency,1,-,-,-,-
C7d5ec797-4b34-4ee6-9ed6-c6df40e8fd74,2021-03-31T13:56:53+02:00,withdrawal,outgoing,0,EUR,0.00000000,BEST,0.00,-,Cryptocurrency,33,1.02872654,BEST,-,-
Tf6396c2c-4f06-4632-ad8b-d23d1773576d,2021-03-31T13:58:09+02:00,buy,outgoing,150.00,EUR,119.12384696,MIOTA,1.26,EUR,Cryptocurrency,13,-,-,-,-
C70fea527-9e82-4b9a-abcd-a2fbde7a8382,2021-03-31T13:58:09+02:00,withdrawal,outgoing,0,EUR,0.00000000,BEST,0.00,-,Cryptocurrency,33,1.73422198,BEST,-,-
4b6f82d3-cf97-4e93-8366-a824de47ebfa,2021-04-01T14:18:08+02:00,transfer,incoming,0.37,EUR,0.24617696,BEST,1.51,EUR,Cryptocurrency,33,-,-,-,-
T85d18622-9155-4f54-921a-7c3525dfaff9,2021-04-05T00:32:44+02:00,sell,incoming,37.76,EUR,25.00000000,BEST,1.51,EUR,Cryptocurrency,33,-,-,-,-
Tc4ff6443-bbe6-4f08-86b8-8ed1cb201606,2021-04-05T00:32:44+02:00,buy,outgoing,37.76,EUR,4577.68829588,BTT,0.01,EUR,Cryptocurrency,70,-,-,-,-
F7d3af991-afa9-4421-be76-4700d2e112e0,2021-04-07T18:44:36+02:00,deposit,incoming,200.00,EUR,-,EUR,-,-,Fiat,-,0.00000000,EUR,-,-
T65d373c3-ab22-4cd0-8d7b-4f5479f02669,2021-04-07T18:58:36+02:00,buy,outgoing,100.00,EUR,13843.71410764,BTT,0.01,EUR,Cryptocurrency,70,-,-,-,-
T108109cc-a27d-42cc-96e1-ac2a573b8ba4,2021-04-08T20:15:18+02:00,buy,outgoing,100.00,EUR,61.58185137,BEST,1.62,EUR,Cryptocurrency,33,-,-,-,-
Taf462e96-7673-46d3-934b-8d5d3961a390,2021-04-12T09:06:29+02:00,sell,incoming,72.49,EUR,41.93339299,BEST,1.73,EUR,Cryptocurrency,33,-,-,-,-
T549f5811-ffb0-4178-8ce8-fb359808ed91,2021-04-12T09:06:29+02:00,buy,outgoing,72.49,EUR,0.03881286,ETH,1867.68,EUR,Cryptocurrency,5,-,-,-,-
T1c4ed853-c372-4b53-9d73-94cce0bdf857,2021-04-12T09:07:36+02:00,sell,incoming,565.64,EUR,333.81961189,MIOTA,1.69,EUR,Cryptocurrency,13,-,-,-,-
Tb4bc5334-73c4-4847-83ec-d5a8e290b98f,2021-04-12T09:07:36+02:00,buy,outgoing,565.64,EUR,0.30275733,ETH,1868.29,EUR,Cryptocurrency,5,-,-,-,-
F623ba7cb-0fc3-4179-8f39-dd91859a4472,2021-04-15T13:59:18+02:00,deposit,incoming,1000.00,EUR,-,EUR,-,-,Fiat,-,0.00000000,EUR,-,-
Tc4231419-b0a3-48c9-9d7f-228923965563,2021-04-15T14:14:51+02:00,buy,outgoing,1000.00,EUR,555.43560642,MIOTA,1.80,EUR,Cryptocurrency,13,-,-,-,-
848154df-4bec-4bdf-ada5-f2f236c06fe3,2021-04-21T20:19:17+02:00,transfer,incoming,5,EUR,0.02588662,MCD,193.15,EUR,"Stock (derivative)",105,-,-,0.00000000,EUR
e0c757d8-2234-4bcf-ad02-de05b4f01ec2,2021-05-01T13:18:21+02:00,transfer,incoming,0.52,EUR,0.24271515,BEST,2.13,EUR,Cryptocurrency,33,-,-,-,-
F9896d913-0725-4bd0-8d8b-1b1902c4b41d,2021-05-05T11:17:08+02:00,deposit,incoming,300.00,EUR,-,EUR,-,-,Fiat,-,0.00000000,EUR,-,-
